frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
0,43.507,-0.0016,-0.01,0.0,0.0,0.0,0.0,MANUAL
1,43.699,-0.0016,0.03,0.0,0.0,0.0,0.0,MANUAL
2,43.857,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL
3,44.025,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL
4,44.205,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
5,44.354,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
6,44.513,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
7,44.652,-0.0016,0.01,0.001,0.0,0.0,0.0,MANUAL
8,44.837,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
9,44.99,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
10,45.138,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
11,45.284,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
12,45.434,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
13,45.569,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
14,45.72,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
15,45.882,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
16,45.998,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
17,46.104,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
18,46.201,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
19,46.304,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
20,46.403,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
21,46.501,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL
22,46.603,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
23,46.701,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL
24,46.801,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
25,46.9,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
26,47.001,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
27,47.101,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
28,47.202,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
29,47.301,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
30,47.437,-0.0016,-0.0,0.001,0.0,0.0,0.0,BEAMNG_AI
31,47.544,-0.0016,-0.0,0.041,0.0,0.0,0.0,BEAMNG_AI
32,47.637,-0.0016,-0.0,0.073,0.0,0.0,0.0,BEAMNG_AI
33,47.74,-0.0016,-0.0,0.088,0.0,0.0,0.0,BEAMNG_AI
34,47.837,-0.0016,-0.0,0.084,0.0,0.0,0.0,BEAMNG_AI
35,47.943,-0.0016,-0.0,0.103,0.0,0.0,0.0,BEAMNG_AI
36,48.055,-0.0016,0.0,0.192,0.0,0.0,0.0,BEAMNG_AI
