frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows,curvature
0,35.307,-0.0016,-0.05,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.1328
1,35.469,-0.0016,0.07,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.00041
2,35.625,-0.0016,0.03,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,8e-05
3,35.78,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,2e-05
4,35.915,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
5,36.072,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
6,36.233,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
7,36.398,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
8,36.546,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
9,36.713,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
10,36.86,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
11,37.016,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
12,37.17,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
13,37.331,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
14,37.492,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
15,37.65,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,-0.0
16,37.803,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
17,37.961,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
18,38.121,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1,0.0
