frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows
0,34.795,-0.0016,-0.05,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
1,34.969,-0.0016,0.07,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
2,35.128,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
3,35.316,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
4,35.45,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
5,35.603,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
6,35.743,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
7,35.912,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
8,36.068,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
9,36.203,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
10,36.317,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
11,36.417,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
12,36.518,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
13,36.616,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
14,36.717,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
15,36.817,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
16,36.92,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
17,37.016,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
18,37.118,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
19,37.217,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
20,37.321,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
21,37.42,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
22,37.517,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
23,37.618,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
24,37.721,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
25,37.818,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
26,37.918,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
27,38.026,-0.0016,-0.0,0.0,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
28,38.126,-0.0016,-0.0,0.026,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
29,38.26,-0.0016,-0.0,0.082,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
30,38.36,-0.0016,-0.0,0.125,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
31,38.464,-0.0016,0.0,0.196,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
32,38.596,-0.0016,0.0,0.374,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
33,38.698,-0.0016,0.0,0.704,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
34,38.796,-0.0016,0.0,1.066,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
35,38.894,-0.0016,0.0,1.444,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,0
36,39.064,-0.0016,-0.0,1.947,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
37,39.196,-0.0016,-0.0,2.563,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
38,39.296,-0.0016,-0.0,2.945,-0.0123,0.6,0.0,AUTO,0.0,-0.5,False,1
39,39.394,-0.0016,-0.0,3.316,-0.0123,0.49,0.0,AUTO,0.0,-0.5,False,1
40,39.528,-0.0016,-0.0,3.681,-0.0123,0.381,0.0,AUTO,0.0,-0.5,False,1
41,39.629,-0.0016,0.0,4.139,-0.0123,0.243,0.0,AUTO,0.0,-0.5,False,1
42,39.731,-0.0016,0.0,4.45,-0.0123,0.15,0.0,AUTO,0.0,-0.5,False,1
43,39.83,-0.0016,0.0,4.739,-0.0123,0.063,0.0,AUTO,0.0,-0.5,False,1
44,39.929,-0.0016,0.0,4.932,-0.0123,0.005,0.0,AUTO,0.0,-0.5,False,1
