frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
0,41.741,-0.0016,-0.01,0.0,0.0,0.0,0.0,MANUAL
1,41.942,-0.0016,0.03,0.0,0.0,0.0,0.0,MANUAL
2,42.089,-0.0016,0.02,0.001,0.0,0.0,0.0,MANUAL
3,42.246,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL
4,42.388,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
5,42.534,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
6,42.693,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
7,42.839,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL
8,42.998,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
9,43.154,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
10,43.318,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
11,43.44,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
12,43.593,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
13,43.739,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
14,43.906,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
15,44.054,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
16,44.235,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
17,44.409,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
18,44.588,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
19,44.755,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
20,44.922,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
21,45.084,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
22,45.25,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
23,45.405,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
24,45.579,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
25,45.735,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
26,45.892,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
27,46.059,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
28,46.231,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
29,46.393,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
30,46.548,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
31,46.703,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
32,46.868,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
33,47.013,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
34,47.15,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
35,47.292,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
36,47.431,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
37,47.581,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
38,47.761,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
39,47.914,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
40,48.08,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
41,48.227,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
42,48.387,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
43,48.537,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
44,48.707,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
45,48.851,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
46,49.018,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
47,49.18,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
48,49.361,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
49,49.518,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
50,49.661,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
51,49.812,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
52,49.95,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
53,50.074,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
54,50.233,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
55,50.39,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
