frame,time_s,lateral_offset_m,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode
81,50.094,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
82,50.194,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
83,50.295,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
84,50.395,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
85,50.498,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
86,50.596,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
87,50.694,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
88,50.794,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
89,50.896,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
90,50.995,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
91,51.102,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
92,51.199,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
93,51.294,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
94,51.395,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
95,51.494,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
96,51.598,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
97,51.698,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
98,51.798,-0.0016,-0.0,0.001,0.0,0.0,0.0,MANUAL
99,51.897,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
100,51.996,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
101,52.095,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
102,52.194,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
103,52.294,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
104,52.394,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
105,52.497,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
106,52.594,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL
107,52.707,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
108,52.794,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
109,52.894,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
110,52.998,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
111,53.095,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL
112,53.201,-0.0016,-0.0,0.0,-0.0036,0.6,0.0,AUTO
113,53.301,-0.0016,-0.0,0.026,-0.0036,0.6,0.0,AUTO
114,53.401,-0.0016,-0.0,0.069,-0.0036,0.6,0.0,AUTO
115,53.503,-0.0016,-0.0,0.114,-0.0035,0.6,0.0,AUTO
116,53.635,-0.0016,-0.0,0.169,-0.0033,0.6,0.0,AUTO
117,53.771,-0.0016,-0.0,0.424,-0.0027,0.6,0.0,AUTO
118,53.869,-0.0016,-0.0,0.779,-0.0022,0.6,0.0,AUTO
119,54.003,-0.0016,0.0,1.262,-0.0017,0.6,0.0,AUTO
120,54.103,-0.0016,0.0,1.633,-0.0015,0.6,0.0,AUTO
121,54.27,-0.0016,0.0,2.138,-0.0012,0.6,0.0,AUTO
122,54.403,-0.0016,0.0,2.766,-0.001,0.6,0.0,AUTO
123,54.537,-0.0016,0.0,3.258,-0.0009,0.522,0.0,AUTO
124,54.638,-0.0016,0.0,3.63,-0.0008,0.411,0.0,AUTO
125,54.77,-0.0016,0.0,4.085,-0.0008,0.275,0.0,AUTO
126,54.905,-0.0016,0.0,4.507,-0.0007,0.148,0.0,AUTO
127,55.037,-0.0016,0.0,4.872,-0.0007,0.038,0.0,AUTO
128,55.17,-0.0016,0.0,5.06,-0.0006,0.0,0.018,AUTO
129,55.27,-0.0016,0.0,5.088,-0.0006,0.0,0.026,AUTO
130,55.403,-0.0016,0.0,5.004,-0.0007,0.0,0.001,AUTO
131,55.503,-0.0016,0.0,4.945,-0.0007,0.017,0.0,AUTO
132,55.636,-0.0016,-0.0,4.885,-0.0007,0.035,0.0,AUTO
133,55.77,-0.0016,-0.0,4.816,-0.0007,0.055,0.0,AUTO
134,55.904,-0.0016,-0.0,4.774,-0.0007,0.068,0.0,AUTO
135,56.036,-0.0016,-0.0,4.773,-0.0007,0.068,0.0,AUTO
136,56.136,-0.0016,-0.0,4.789,-0.0007,0.063,0.0,AUTO
137,56.272,-0.0016,-0.0,4.816,-0.0007,0.055,0.0,AUTO
138,56.372,-0.0016,-0.0,4.835,-0.0007,0.049,0.0,AUTO
139,56.471,-0.0016,-0.0,4.845,-0.0007,0.046,0.0,AUTO
