frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows
0,35.09,-0.0016,-0.05,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
1,35.272,-0.0016,0.07,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
2,35.441,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
3,35.599,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
4,35.759,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
5,35.908,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
6,36.067,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
7,36.224,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
8,36.356,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
9,36.457,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
10,36.558,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
11,36.656,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
12,36.755,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
13,36.853,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
14,36.953,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
15,37.056,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
16,37.159,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
17,37.256,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
18,37.356,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
19,37.458,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
20,37.554,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
21,37.656,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
22,37.758,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
23,37.856,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
24,37.958,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
25,38.055,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
26,40.048,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
27,40.191,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
28,40.333,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
29,40.472,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
30,40.609,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
31,40.724,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
32,40.828,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
33,40.958,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
34,41.092,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
35,41.213,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
36,41.324,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
37,41.441,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
38,41.58,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
39,41.743,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
40,41.899,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
41,42.039,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
42,42.192,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
43,42.326,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
44,42.473,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
45,42.599,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
46,42.698,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
47,42.799,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
48,42.896,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
49,42.998,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
50,43.097,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
51,43.197,-0.0016,0.0,0.001,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
52,43.297,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
53,43.404,-0.0016,-0.0,0.001,-0.0251,0.6,0.0,AUTO,0.0,-0.5,False,1
54,43.506,-0.0016,-0.0,0.02,-0.0253,0.6,0.0,AUTO,0.0,-0.5,False,1
55,43.604,-0.0016,-0.0,0.061,-0.0255,0.6,0.0,AUTO,0.0,-0.5,False,1
56,43.704,-0.0016,-0.0,0.106,-0.0256,0.6,0.0,AUTO,0.0,-0.5,False,1
57,43.806,-0.0016,0.0,0.148,-0.0258,0.6,0.0,AUTO,0.0,-0.5,False,1
58,43.908,-0.0016,0.0,0.239,-0.026,0.6,0.0,AUTO,0.0,-0.5,False,1
59,44.007,-0.0016,0.0,0.375,-0.0262,0.6,0.0,AUTO,0.0,-0.5,False,1
60,44.106,-0.0016,0.0,0.691,-0.0264,0.6,0.0,AUTO,0.0,-0.5,False,1
61,44.242,-0.0016,0.0,1.051,-0.0266,0.6,0.0,AUTO,0.0,-0.5,False,1
62,44.34,-0.0016,0.0,1.537,-0.0268,0.6,0.0,AUTO,0.0,-0.5,False,1
63,44.44,-0.0016,0.0,1.915,-0.027,0.6,0.0,AUTO,0.0,-0.5,False,1
64,44.539,-0.0016,0.0,2.282,-0.0272,0.6,0.0,AUTO,0.0,-0.5,False,0
65,44.647,-0.0016,0.0,2.663,-0.0274,0.6,0.0,AUTO,0.0,-0.5,False,0
66,44.775,-0.0016,0.0,3.16,-0.0276,0.519,0.0,AUTO,0.0,-0.5,False,1
67,44.878,-0.0016,0.0,3.526,-0.0278,0.409,0.0,AUTO,0.0,-0.5,False,1
68,44.979,-0.0016,0.0,3.871,-0.028,0.305,0.0,AUTO,0.0,-0.5,False,1
69,45.074,-0.0016,0.0,4.208,-0.0282,0.204,0.0,AUTO,0.0,-0.5,False,1
70,45.21,-0.0016,0.0,4.517,-0.0284,0.111,0.0,AUTO,0.0,-0.5,False,1
71,45.306,-0.0016,0.0,4.845,-0.0286,0.012,0.0,AUTO,0.0,-0.5,False,1
72,45.441,-0.0016,0.0,4.97,-0.0288,0.0,0.026,AUTO,0.0,-0.5,False,1
73,45.54,-0.0016,0.0,4.981,-0.0291,0.0,0.029,AUTO,0.0,-0.5,False,1
74,45.643,-0.0016,0.0,4.909,-0.0292,0.0,0.008,AUTO,0.0,-0.5,False,1
75,45.744,-0.0016,0.0,4.841,-0.0294,0.012,0.0,AUTO,0.0,-0.5,False,1
76,45.847,-0.0016,0.0,4.804,-0.0296,0.023,0.0,AUTO,0.0,-0.5,False,1
77,45.94,-0.0016,0.0,4.755,-0.0298,0.038,0.0,AUTO,0.0,-0.5,False,1
78,46.076,-0.0016,0.0,4.703,-0.03,0.053,0.0,AUTO,0.0,-0.5,False,1
79,46.211,-0.0016,0.0,4.652,-0.0302,0.068,0.0,AUTO,0.0,-0.5,False,1
80,46.308,-0.0016,0.0,4.654,-0.0305,0.067,0.0,AUTO,0.0,-0.5,False,1
81,46.406,-0.0016,0.0,4.676,-0.0307,0.06,0.0,AUTO,0.0,-0.5,False,1
82,46.543,-0.0016,0.0,4.69,-0.0308,0.056,0.0,AUTO,0.0,-0.5,False,1
83,46.641,-0.0016,0.0,4.72,-0.0311,0.047,0.0,AUTO,0.0,-0.5,False,1
84,46.74,-0.0016,0.0,4.731,-0.0313,0.043,0.0,AUTO,0.0,-0.5,False,1
85,46.876,-0.0016,0.0,4.729,-0.0315,0.043,0.0,AUTO,0.0,-0.5,False,1
86,46.974,-0.0016,0.0,4.729,-0.0317,0.043,0.0,AUTO,0.0,-0.5,False,1
87,47.081,-0.0016,0.0,4.716,-0.0319,0.047,0.0,AUTO,0.0,-0.5,False,2
88,47.178,-0.0016,0.0,4.719,-0.0321,0.046,0.0,AUTO,0.0,-0.5,False,2
89,47.275,-0.0016,0.0,4.707,-0.0323,0.049,0.0,AUTO,0.0,-0.5,False,2
90,47.373,-0.0016,0.0,4.715,-0.0324,0.047,0.0,AUTO,0.0,-0.5,False,2
91,47.48,-0.0016,0.0,4.709,-0.0326,0.048,0.0,AUTO,0.0,-0.5,False,1
92,47.58,-0.0016,0.0,4.711,-0.0328,0.047,0.0,AUTO,0.0,-0.5,False,1
93,47.679,-0.0016,0.0,4.71,-0.033,0.048,0.0,AUTO,0.0,-0.5,False,2
94,47.776,-0.0016,0.0,4.715,-0.0332,0.046,0.0,AUTO,0.0,-0.5,False,1
95,47.873,-0.0016,0.0,4.711,-0.0334,0.047,0.0,AUTO,0.0,-0.5,False,1
96,47.974,-0.0016,0.0,4.706,-0.0336,0.048,0.0,AUTO,0.0,-0.5,False,1
97,48.074,-0.0016,0.0,4.708,-0.0337,0.047,0.0,AUTO,0.0,-0.5,False,1
98,48.177,-0.0016,0.0,4.71,-0.0339,0.046,0.0,AUTO,0.0,-0.5,False,1
99,48.278,-0.0016,0.0,4.708,-0.0341,0.047,0.0,AUTO,0.0,-0.5,False,1
100,48.375,-0.0016,0.0,4.703,-0.0343,0.048,0.0,AUTO,0.0,-0.5,False,1
101,48.508,-0.0016,0.0,4.706,-0.0345,0.047,0.0,AUTO,0.0,-0.5,False,1
