frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows
0,35.826,-0.0016,-0.05,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
1,36.004,-0.0016,0.17,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
2,36.163,-0.0016,0.1,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
3,36.336,-0.0016,0.06,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
4,36.488,-0.0016,0.04,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
5,36.643,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
6,36.804,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
7,36.96,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
8,37.106,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
9,37.269,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
10,37.426,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
11,37.583,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
12,37.76,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
13,37.922,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
14,38.063,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
15,38.213,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
16,38.347,-0.0016,-0.0,0.001,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
17,38.502,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
18,38.664,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
19,38.822,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
20,38.975,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
21,39.139,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
22,39.298,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
23,39.443,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
24,39.599,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
25,39.758,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
26,39.887,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
27,39.988,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
28,40.088,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
