frame,time_s,lateral_offset_norm,heading_error_deg,speed_mps,steering,throttle,brake,drive_mode,raw_heading_deg,raw_lateral_px,kalman_active,width_corrected_rows
0,37.914,-0.0016,-0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
1,38.091,-0.0016,0.03,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
2,38.248,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
3,38.43,-0.0016,0.02,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
4,38.61,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
5,38.773,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
6,38.962,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
7,39.154,-0.0016,0.01,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
8,39.32,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
9,39.469,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
10,39.604,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
11,39.77,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
12,39.924,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
13,40.111,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
14,40.231,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
15,40.331,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
16,40.431,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
17,40.531,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
18,40.628,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
19,40.729,-0.0016,-0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
20,40.829,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
21,40.93,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
22,41.029,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
23,41.133,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
24,41.229,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
25,41.33,-0.0016,0.0,0.0,0.0,0.0,0.0,MANUAL,0.0,-0.5,False,1
26,41.471,-0.0016,0.0,0.0,-0.0036,0.6,0.0,AUTO,0.0,-0.5,False,1
27,41.57,-0.0016,0.0,0.025,-0.0036,0.6,0.0,AUTO,0.0,-0.5,False,1
28,41.672,-0.0016,-0.0,0.066,-0.0036,0.6,0.0,AUTO,0.0,-0.5,False,1
29,41.77,-0.0016,-0.0,0.112,-0.0035,0.6,0.0,AUTO,0.0,-0.5,False,1
30,41.878,-0.0016,-0.0,0.16,-0.0034,0.6,0.0,AUTO,0.0,-0.5,False,1
31,42.008,-0.0016,-0.0,0.314,-0.003,0.6,0.0,AUTO,0.0,-0.5,False,1
32,42.111,-0.0016,-0.0,0.574,-0.0025,0.6,0.0,AUTO,0.0,-0.5,False,1
33,42.207,-0.0016,-0.0,0.925,-0.002,0.6,0.0,AUTO,0.0,-0.5,False,1
34,42.306,-0.0016,-0.0,1.285,-0.0017,0.6,0.0,AUTO,0.0,-0.5,False,0
35,42.409,-0.0016,-0.0,1.664,-0.0015,0.6,0.0,AUTO,0.0,-0.5,False,0
36,42.51,-0.0016,0.0,2.035,-0.0013,0.6,0.0,AUTO,0.0,-0.5,False,0
37,42.609,-0.0016,0.0,2.409,-0.0011,0.6,0.0,AUTO,0.0,-0.5,False,0
38,42.706,-0.0016,0.0,2.786,-0.001,0.6,0.0,AUTO,0.0,-0.5,False,1
39,42.806,-0.0016,0.0,3.161,-0.0009,0.552,0.0,AUTO,0.0,-0.5,False,1
40,42.907,-0.0016,0.0,3.519,-0.0009,0.444,0.0,AUTO,0.0,-0.5,False,1
41,43.01,-0.0016,0.0,3.875,-0.0008,0.337,0.0,AUTO,0.0,-0.5,False,1
42,43.173,-0.0016,0.0,4.316,-0.0007,0.205,0.0,AUTO,0.0,-0.5,False,1
43,43.273,-0.0016,0.0,4.717,-0.0007,0.085,0.0,AUTO,0.0,-0.5,False,1
44,43.378,-0.0016,-0.0,4.967,-0.0007,0.01,0.0,AUTO,0.0,-0.5,False,1
45,43.477,-0.0016,-0.0,5.08,-0.0006,0.0,0.024,AUTO,0.0,-0.5,False,1
46,43.577,-0.0016,-0.0,5.078,-0.0006,0.0,0.023,AUTO,0.0,-0.5,False,1
47,43.674,-0.0016,-0.0,5.019,-0.0006,0.0,0.006,AUTO,0.0,-0.5,False,1
48,43.804,-0.0016,-0.0,4.955,-0.0007,0.013,0.0,AUTO,0.0,-0.5,False,1
49,43.906,-0.0016,-0.0,4.898,-0.0007,0.031,0.0,AUTO,0.0,-0.5,False,1
50,44.006,-0.0016,-0.0,4.846,-0.0007,0.046,0.0,AUTO,0.0,-0.5,False,1
51,44.141,-0.0016,-0.0,4.777,-0.0007,0.067,0.0,AUTO,0.0,-0.5,False,1
52,44.239,-0.0016,0.0,4.759,-0.0007,0.072,0.0,AUTO,0.0,-0.5,False,1
53,44.341,-0.0016,0.0,4.77,-0.0007,0.069,0.0,AUTO,0.0,-0.5,False,1
54,44.441,-0.0016,0.0,4.799,-0.0007,0.06,0.0,AUTO,0.0,-0.5,False,1
55,44.544,-0.0016,0.0,4.818,-0.0007,0.055,0.0,AUTO,0.0,-0.5,False,1
56,44.64,-0.0016,0.0,4.832,-0.0007,0.05,0.0,AUTO,0.0,-0.5,False,1
57,44.739,-0.0016,0.0,4.845,-0.0007,0.047,0.0,AUTO,0.0,-0.5,False,1
58,44.846,-0.0016,0.0,4.848,-0.0007,0.046,0.0,AUTO,0.0,-0.5,False,1
59,44.94,-0.0016,0.0,4.844,-0.0007,0.047,0.0,AUTO,0.0,-0.5,False,1
60,45.074,-0.0016,-0.0,4.843,-0.0007,0.047,0.0,AUTO,0.0,-0.5,False,1
61,45.205,-0.0016,-0.0,4.839,-0.0007,0.048,0.0,AUTO,0.0,-0.5,False,1
62,45.347,-0.0016,-0.0,4.831,-0.0007,0.051,0.0,AUTO,0.0,-0.5,False,1
63,45.438,-0.0016,-0.0,4.832,-0.0007,0.051,0.0,AUTO,0.0,-0.5,False,1
64,45.575,-0.0016,-0.0,4.832,-0.0007,0.05,0.0,AUTO,0.0,-0.5,False,1
65,45.673,-0.0016,-0.0,4.834,-0.0007,0.05,0.0,AUTO,0.0,-0.5,False,1
66,45.774,-0.0016,-0.0,4.838,-0.0007,0.049,0.0,AUTO,0.0,-0.5,False,0
67,45.872,-0.0016,-0.0,4.834,-0.0007,0.05,0.0,AUTO,0.0,-0.5,False,0
68,45.973,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO,0.0,-0.5,False,0
69,46.074,-0.0016,0.0,4.84,-0.0007,0.048,0.0,AUTO,0.0,-0.5,False,1
70,46.174,-0.0016,0.0,4.834,-0.0007,0.05,0.0,AUTO,0.0,-0.5,False,0
71,46.274,-0.0016,0.0,4.836,-0.0007,0.049,0.0,AUTO,0.0,-0.5,False,0
